eff logg FeH profile filter wave_min wave_eff wave_max c1 e1 c2 e2
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.422 0.4294 0.437 0.569 0.005 0.199 0.007
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.438 0.4456 0.453 0.561 0.008 0.213 0.01
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.454 0.4614 0.469 0.52 0.01 0.237 0.013
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.47 0.4775 0.485 0.481 0.011 0.259 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.486 0.4934 0.501 0.454 0.011 0.262 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.502 0.5093 0.517 0.454 0.011 0.252 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.518 0.5254 0.533 0.439 0.01 0.245 0.013
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.534 0.5415 0.549 0.416 0.011 0.259 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.55 0.5576 0.565 0.399 0.011 0.263 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.566 0.5737 0.581 0.386 0.012 0.264 0.016
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.582 0.5894 0.597 0.371 0.012 0.267 0.016
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.598 0.6055 0.613 0.358 0.012 0.267 0.016
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.614 0.6216 0.629 0.348 0.012 0.263 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.63 0.6377 0.645 0.334 0.012 0.266 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.646 0.6533 0.661 0.292 0.012 0.284 0.016
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.662 0.6694 0.677 0.312 0.012 0.267 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.678 0.6855 0.693 0.31 0.012 0.261 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.694 0.7017 0.709 0.303 0.011 0.257 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.71 0.7173 0.725 0.293 0.011 0.256 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.726 0.7334 0.741 0.286 0.011 0.254 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.742 0.7495 0.757 0.279 0.011 0.253 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.758 0.7656 0.773 0.272 0.011 0.251 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.774 0.7817 0.789 0.265 0.011 0.251 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.79 0.7974 0.805 0.259 0.011 0.25 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.806 0.8135 0.821 0.254 0.011 0.247 0.015
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.822 0.8296 0.837 0.246 0.011 0.248 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.838 0.8457 0.853 0.236 0.011 0.249 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.854 0.8613 0.869 0.227 0.011 0.251 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.87 0.8774 0.885 0.227 0.01 0.248 0.014
6250.0 4.5 0.0 quadratic Kepler/Kepler.K 0.886 0.8936 0.901 0.216 0.011 0.245 0.014
